experiment 0 times
start from domain 26
heart beat succeeded[326933372]
heart beat succeeded[943383725]
heart beat succeeded[1548365282]
heart beat succeeded[727750310]
heart beat succeeded[504520048]
heart beat succeeded[1266161788]
heart beat succeeded[857958911]
heart beat succeeded[2052381377]
heart beat succeeded[1260211778]
heart beat succeeded[820532197]
heart beat succeeded[1111293568]
heart beat succeeded[462296844]
heart beat succeeded[1408662822]
heart beat succeeded[820165839]
heart beat succeeded[1599107893]
heart beat succeeded[1302381616]
heart beat succeeded[1990946873]
heart beat succeeded[1814863467]
heart beat succeeded[467372387]
heart beat succeeded[287974619]
heart beat succeeded[1525557367]
heart beat succeeded[880405820]
heart beat succeeded[1790192986]
heart beat succeeded[1106772031]
heart beat succeeded[1071743015]
heart beat succeeded[1831999736]
heart beat succeeded[810927293]
heart beat succeeded[1206345541]
heart beat succeeded[816511542]
heart beat succeeded[1932596541]
heart beat succeeded[987122549]
heart beat succeeded[454506587]
heart beat succeeded[1278132379]
heart beat succeeded[711397913]
heart beat succeeded[1629537147]
heart beat succeeded[242102833]
heart beat succeeded[2110224056]
heart beat succeeded[1649408782]
heart beat succeeded[912038390]
heart beat succeeded[1158324656]
heart beat succeeded[1061316131]
heart beat succeeded[1732306383]
heart beat succeeded[1486108607]
heart beat succeeded[1731385627]
heart beat succeeded[1140819634]
heart beat succeeded[1313518522]
heart beat succeeded[1404380258]
heart beat succeeded[1256868067]
heart beat succeeded[538361770]
heart beat succeeded[1863717401]
heart beat succeeded[1225942283]
heart beat succeeded[150593785]
heart beat succeeded[1665561373]
heart beat succeeded[1118587091]
heart beat succeeded[1763926616]
heart beat succeeded[378355669]
heart beat succeeded[941357634]
heart beat succeeded[2116376155]
heart beat succeeded[814789477]
heart beat succeeded[592792]
heart beat succeeded[1606382640]
heart beat succeeded[176830627]
heart beat succeeded[461410636]
heart beat succeeded[1590771398]
heart beat succeeded[2128827180]
heart beat succeeded[1557631480]
heart beat succeeded[119287132]
heart beat succeeded[2071501840]
heart beat succeeded[473749794]
heart beat succeeded[533036681]
heart beat succeeded[1260203509]
heart beat succeeded[1569082762]
heart beat succeeded[1044497174]
heart beat succeeded[1172555353]
heart beat succeeded[1537159278]
heart beat succeeded[1131644937]
heart beat succeeded[1269530850]
heart beat succeeded[1207713629]
heart beat succeeded[55577692]
heart beat succeeded[498968457]
heart beat succeeded[106636030]
heart beat succeeded[104522694]
heart beat succeeded[643222234]
heart beat succeeded[1240812376]
heart beat succeeded[868396562]
heart beat succeeded[1289901409]
heart beat succeeded[736198938]
heart beat succeeded[148646784]
heart beat succeeded[1643621102]
heart beat succeeded[1740944072]
heart beat succeeded[441208488]
heart beat succeeded[1498280636]
heart beat succeeded[794023849]
heart beat succeeded[937332409]
heart beat succeeded[1371494068]
heart beat succeeded[2077852358]
heart beat succeeded[319071462]
heart beat succeeded[509405808]
heart beat succeeded[425389941]
heart beat succeeded[540773655]
heart beat succeeded[1388593632]
heart beat succeeded[2081569732]
heart beat succeeded[2041301071]
heart beat succeeded[164801173]
heart beat succeeded[1919592689]
heart beat succeeded[252900304]
heart beat succeeded[591336251]
heart beat succeeded[2056947734]
heart beat succeeded[1562481084]
heart beat succeeded[1310997643]
heart beat succeeded[1801465867]
heart beat succeeded[993038139]
heart beat succeeded[1137720801]
heart beat succeeded[731252441]
heart beat succeeded[1014445433]
heart beat succeeded[708212693]
heart beat succeeded[1102455628]
heart beat succeeded[785889530]
heart beat succeeded[2054644831]
heart beat succeeded[109891689]
heart beat succeeded[987541473]
heart beat succeeded[833835374]
heart beat succeeded[1147054029]
heart beat succeeded[573737639]
heart beat succeeded[51218613]
heart beat succeeded[950991021]
heart beat succeeded[1055939923]
heart beat succeeded[685136783]
heart beat succeeded[347987408]
heart beat succeeded[469881740]
heart beat succeeded[1591593434]
heart beat succeeded[806748827]
heart beat succeeded[196917651]
heart beat succeeded[1803400977]
heart beat succeeded[1496032683]
heart beat succeeded[1194405457]
heart beat succeeded[1151419603]
heart beat succeeded[1958411374]
heart beat succeeded[1377361206]
heart beat succeeded[970750185]
heart beat succeeded[2049575954]
heart beat succeeded[2120337083]
heart beat succeeded[28588063]
heart beat succeeded[1207016993]
heart beat succeeded[2091909016]
heart beat succeeded[1550225919]
heart beat succeeded[290180395]
heart beat succeeded[1561711719]
heart beat succeeded[1855742127]
heart beat succeeded[1079432802]
heart beat succeeded[1490159082]
heart beat succeeded[1927978791]
heart beat succeeded[1079243655]
heart beat succeeded[91007704]
heart beat succeeded[1684492225]
heart beat succeeded[1615948534]
heart beat succeeded[836367654]
heart beat succeeded[401689507]
heart beat succeeded[997050876]
heart beat succeeded[822955522]
heart beat succeeded[349285185]
heart beat succeeded[1167633298]
heart beat succeeded[1937265042]
heart beat succeeded[707614420]
heart beat succeeded[1429566058]
heart beat succeeded[1304185342]
heart beat succeeded[1525877729]
heart beat succeeded[1098579176]
heart beat succeeded[1980701055]
heart beat succeeded[1254637278]
heart beat succeeded[2038621678]
heart beat succeeded[2087262913]
heart beat succeeded[1373414418]
heart beat succeeded[2073147905]
heart beat succeeded[1098513070]
heart beat succeeded[541418930]
heart beat succeeded[1952091404]
heart beat succeeded[1325743592]
heart beat succeeded[224087213]
heart beat succeeded[502864395]
heart beat succeeded[1094024291]
heart beat succeeded[1340242337]
heart beat succeeded[1022013674]
heart beat succeeded[1218581959]
heart beat succeeded[2020954896]
heart beat succeeded[818657414]
heart beat succeeded[1375121696]
heart beat succeeded[231748099]
heart beat succeeded[2085193426]
heart beat succeeded[1490057611]
heart beat succeeded[1416779823]
heart beat succeeded[67161599]
heart beat succeeded[756319887]
heart beat succeeded[1126552432]
heart beat succeeded[1885473655]
heart beat succeeded[167682318]
heart beat succeeded[1572331059]
heart beat succeeded[1182846663]
heart beat succeeded[97808307]
heart beat succeeded[297917046]
heart beat succeeded[890326511]
heart beat succeeded[1766174731]
heart beat succeeded[717757325]
heart beat succeeded[1265972359]
heart beat succeeded[1189000442]
heart beat succeeded[1585354644]
heart beat succeeded[848970247]
heart beat succeeded[931938656]
heart beat succeeded[1012519814]
heart beat succeeded[1314800936]
heart beat succeeded[194162769]
heart beat succeeded[892113251]
heart beat succeeded[453927425]
heart beat succeeded[2049102612]
heart beat succeeded[453769828]
heart beat succeeded[1983851265]
heart beat succeeded[1015553395]
heart beat succeeded[1071481560]
heart beat succeeded[235900213]
heart beat succeeded[594002779]
heart beat succeeded[1488363221]
heart beat succeeded[40794067]
heart beat succeeded[613424212]
heart beat succeeded[1815089895]
heart beat succeeded[477376252]
heart beat succeeded[633240586]
heart beat succeeded[302881567]
heart beat succeeded[1058630254]
heart beat succeeded[1935849663]
heart beat succeeded[884864452]
heart beat succeeded[351075317]
heart beat succeeded[1224808769]
heart beat succeeded[977272242]
heart beat succeeded[326223063]
heart beat succeeded[537633591]
heart beat succeeded[653020621]
heart beat succeeded[110255148]
heart beat succeeded[1905791069]
heart beat succeeded[529116096]
heart beat succeeded[1287717338]
heart beat succeeded[1201428437]
heart beat succeeded[464412162]
heart beat succeeded[2116265411]
heart beat succeeded[168464667]
heart beat succeeded[965079836]
heart beat succeeded[664913452]
heart beat succeeded[1251816779]
heart beat succeeded[1593859564]
heart beat succeeded[615039721]
heart beat succeeded[698741109]
heart beat succeeded[291482861]
heart beat succeeded[881628197]
heart beat succeeded[362487537]
heart beat succeeded[1494968741]
heart beat succeeded[1799194410]
heart beat succeeded[1752540795]
heart beat succeeded[1988248483]
heart beat succeeded[661715393]
heart beat succeeded[979055429]
heart beat succeeded[581150956]
heart beat succeeded[352866428]
heart beat succeeded[645277162]
heart beat succeeded[535708279]
heart beat succeeded[1001432022]
heart beat succeeded[221187805]
heart beat succeeded[880092869]
heart beat succeeded[1483684187]
heart beat succeeded[2142216906]
heart beat succeeded[466514801]
heart beat succeeded[1280661264]
heart beat succeeded[1577406336]
heart beat succeeded[410694808]
heart beat succeeded[392422490]
heart beat succeeded[1491371144]
heart beat succeeded[1728521791]
heart beat succeeded[2068954266]
heart beat succeeded[1030098373]
heart beat succeeded[2011254540]
heart beat succeeded[163831387]
heart beat succeeded[397835931]
heart beat succeeded[1264525634]
heart beat succeeded[907899708]
heart beat succeeded[209586350]
heart beat succeeded[1679556746]
heart beat succeeded[370328693]
heart beat succeeded[228580249]
heart beat succeeded[859368561]
heart beat succeeded[2103458464]
heart beat succeeded[327598056]
heart beat succeeded[805810061]
heart beat succeeded[1971761788]
heart beat succeeded[2030836017]
heart beat succeeded[1628309912]
heart beat succeeded[1299891751]
heart beat succeeded[2047013556]
heart beat succeeded[1943379486]
heart beat succeeded[1869082409]
heart beat succeeded[1160322864]
heart beat succeeded[1959317759]
heart beat succeeded[437614598]
heart beat succeeded[23358293]
heart beat succeeded[146471534]
heart beat succeeded[1217649128]
heart beat succeeded[1481829917]
heart beat succeeded[282901399]
heart beat succeeded[1496869011]
heart beat succeeded[750236077]
heart beat succeeded[1220584617]
heart beat succeeded[624201876]
heart beat succeeded[1272402889]
heart beat succeeded[1415539941]
heart beat succeeded[170655016]
heart beat succeeded[593131472]
heart beat succeeded[745072010]
heart beat succeeded[158549729]
heart beat succeeded[1351376970]
heart beat succeeded[257166688]
heart beat succeeded[2030254739]
heart beat succeeded[184164996]
heart beat succeeded[1488946459]
heart beat succeeded[307958245]
heart beat succeeded[760445790]
heart beat succeeded[582277815]
heart beat succeeded[1401764233]
heart beat succeeded[223829499]
heart beat succeeded[1242970816]
heart beat succeeded[2107600376]
heart beat succeeded[391833290]
heart beat succeeded[1550959720]
heart beat succeeded[1101846481]
heart beat succeeded[1629591818]
heart beat succeeded[1010070377]
heart beat succeeded[1537237340]
heart beat succeeded[133774539]
heart beat succeeded[428995539]
heart beat succeeded[558318092]
heart beat succeeded[2018611209]
heart beat succeeded[1265143671]
heart beat succeeded[1665983743]
heart beat succeeded[1697849653]
heart beat succeeded[485660643]
heart beat succeeded[1592440301]
heart beat succeeded[893876348]
heart beat succeeded[1130583904]
heart beat succeeded[900151331]
heart beat succeeded[361128358]
heart beat succeeded[864891955]
heart beat succeeded[521125163]
heart beat succeeded[1360082721]
heart beat succeeded[1418445976]
heart beat succeeded[37677739]
heart beat succeeded[1820703552]
heart beat succeeded[1085518261]
heart beat succeeded[561883328]
heart beat succeeded[1651562988]
heart beat succeeded[283419444]
heart beat succeeded[1995390807]
heart beat succeeded[305142863]
heart beat succeeded[2046959845]
heart beat succeeded[181866882]
heart beat succeeded[106677751]
heart beat succeeded[1303500622]
heart beat succeeded[487438576]
heart beat succeeded[1343212601]
heart beat succeeded[1857113588]
heart beat succeeded[310653428]
heart beat succeeded[1557117511]
heart beat succeeded[1172666101]
heart beat succeeded[422442870]
heart beat succeeded[972431561]
heart beat succeeded[225514533]
heart beat succeeded[814836075]
heart beat succeeded[37869194]
heart beat succeeded[935973884]
heart beat succeeded[344766755]
heart beat succeeded[1311882784]
heart beat succeeded[2050966683]
heart beat succeeded[1279426758]
heart beat succeeded[1665871821]
heart beat succeeded[275417297]
heart beat succeeded[673992810]
heart beat succeeded[751792451]
heart beat succeeded[182036126]
heart beat succeeded[50242094]
heart beat succeeded[918293685]
heart beat succeeded[142786591]
heart beat succeeded[154623904]
heart beat succeeded[801712784]
heart beat succeeded[241712445]
heart beat succeeded[521582732]
heart beat succeeded[1823190528]
heart beat succeeded[2105729936]
heart beat succeeded[525217929]
heart beat succeeded[1864060379]
heart beat succeeded[1023018944]
heart beat succeeded[2006690860]
heart beat succeeded[830762258]
heart beat succeeded[1199834299]
heart beat succeeded[2139089434]
heart beat succeeded[1923486887]
heart beat succeeded[1525458218]
heart beat succeeded[1170517960]
heart beat succeeded[1673502190]
heart beat succeeded[924796452]
heart beat succeeded[2007858280]
heart beat succeeded[972487133]
heart beat succeeded[1278049442]
heart beat succeeded[680544596]
heart beat succeeded[459399351]
heart beat succeeded[133001882]
heart beat succeeded[2124253132]
heart beat succeeded[664694969]
heart beat succeeded[801087139]
heart beat succeeded[567982120]
heart beat succeeded[15622008]
heart beat succeeded[62300487]
heart beat succeeded[850804149]
heart beat succeeded[388273250]
heart beat succeeded[1623904223]
heart beat succeeded[504442217]
heart beat succeeded[1846437259]
heart beat succeeded[1030628935]
heart beat succeeded[162747181]
heart beat succeeded[1915493573]
heart beat succeeded[1710477547]
heart beat succeeded[570718047]
heart beat succeeded[502905934]
heart beat succeeded[190319818]
heart beat succeeded[832793998]
heart beat succeeded[274450613]
heart beat succeeded[438776549]
heart beat succeeded[703746376]
heart beat succeeded[92394408]
heart beat succeeded[278222833]
heart beat succeeded[38544457]
heart beat succeeded[1381217560]
heart beat succeeded[983761979]
heart beat succeeded[124227157]
heart beat succeeded[1630641337]
heart beat succeeded[1667436575]
heart beat succeeded[367614753]
heart beat succeeded[2002912651]
heart beat succeeded[795574295]
heart beat succeeded[1841654120]
heart beat succeeded[1414166949]
heart beat succeeded[1676218440]
heart beat succeeded[542625430]
heart beat succeeded[1011675718]
heart beat succeeded[1324158905]
heart beat succeeded[956495567]
heart beat succeeded[413127921]
heart beat succeeded[1540493226]
heart beat succeeded[1074253123]
heart beat succeeded[1324638439]
heart beat succeeded[2059659101]
heart beat succeeded[694825358]
heart beat succeeded[2095822555]
heart beat succeeded[323105682]
heart beat succeeded[2009445502]
heart beat succeeded[1545185068]
heart beat succeeded[1352258643]
heart beat succeeded[1869442774]
heart beat succeeded[1653000191]
heart beat succeeded[795325302]
heart beat succeeded[1722124587]
heart beat succeeded[176975209]
heart beat succeeded[1836062024]
heart beat succeeded[1240696068]
heart beat succeeded[662588145]
heart beat succeeded[1732379592]
heart beat succeeded[1822539689]
heart beat succeeded[1300683189]
heart beat succeeded[22239094]
heart beat succeeded[930265349]
heart beat succeeded[1571448778]
heart beat succeeded[1212472681]
heart beat succeeded[1529555500]
heart beat succeeded[917839016]
heart beat succeeded[388998947]
heart beat succeeded[1267194199]
heart beat succeeded[213953043]
heart beat succeeded[1937370695]
heart beat succeeded[1535489438]
heart beat succeeded[82562395]
heart beat succeeded[1050711653]
